id,review_text,cleaned_review,sentiment,issue,source
boost_neutral_0346,"chat luong tam on, moi xem so qua",chat luong tam on moi xem so qua,neutral,product_quality,ai_neutral_train_boost_v3
boost_neutral_0256,"op dien thoai nhin bth, chua dung lau nen chua biet",op dien thoai nhin bth chua dung lau nen chua biet,neutral,no_issue,ai_neutral_train_boost_v3
boost_neutral_0591,"form hoi co ban, cam len tam duoc nha",form hoi co ban cam len tam duoc nha,neutral,product_attribute,ai_neutral_train_boost_v3
boost_neutral_0753,danh gia nhan xu thoi 0:10,danh gia nhan xu thoi 0 10,neutral,spam_irrelevant,ai_neutral_train_boost_v3
boost_neutral_0308,"tui nhin bth, de dung them roi tinh 0:08",tui nhin bth de dung them roi tinh 0 08,neutral,no_issue,ai_neutral_train_boost_v3
boost_neutral_0488,form hoi rong nhung tong the tam,form hoi rong nhung tong the tam,neutral,product_attribute,ai_neutral_train_boost_v3
boost_neutral_0507,"kem duong nhin dung loai, hoi lau, van chap nhan duoc nha",kem duong nhin dung loai hoi lau van chap nhan duoc nha,neutral,product_attribute,ai_neutral_train_boost_v3
boost_neutral_0486,"form hoi co ban, mau cung on",form hoi co ban mau cung on,neutral,product_attribute,ai_neutral_train_boost_v3
boost_neutral_0257,"moi mo goi xem qua, giao hang binh thuong, chua khen che duoc nhieu",moi mo goi xem qua giao hang binh thuong chua khen che duoc nhieu,neutral,no_issue,ai_neutral_train_boost_v3
boost_neutral_0499,"hop dung mau nhin tam, chat lieu bth, chx co gi dac biet",hop dung mau nhin tam chat lieu bth chx co gi dac biet,neutral,product_attribute,ai_neutral_train_boost_v3
boost_neutral_0600,"form hoi co ban, dong goi cung duoc a",form hoi co ban dong goi cung duoc a,neutral,product_attribute,ai_neutral_train_boost_v3
boost_neutral_0481,bao bi hoi lau nhung tong the tam,bao bi hoi lau nhung tong the tam,neutral,product_attribute,ai_neutral_train_boost_v3
boost_neutral_0617,"mua luc sale nen thay tam on, chx danh gia lau dai",mua luc sale nen thay tam on chx danh gia lau dai,neutral,price_value,ai_neutral_train_boost_v3
boost_neutral_0536,"form hoi co ban, nhin cx ok thoi",form hoi co ban nhin cx ok thoi,neutral,product_attribute,ai_neutral_train_boost_v3
boost_neutral_0554,kich thuoc hoi lech nhe so voi mk nghi nhung van dung dc a,kich thuoc hoi lech nhe so voi mk nghi nhung van dung dc a,neutral,product_attribute,ai_neutral_train_boost_v3
boost_neutral_0161,"hang nhan du, cam len tam duoc,",hang nhan du cam len tam duoc,neutral,no_issue,ai_neutral_train_boost_v3
boost_neutral_0033,"moi mo goi xem qua, nhin kha on, chua khen che dc nhieu 0:10",moi mo goi xem qua nhin kha on chua khen che dc nhieu 0 10,neutral,no_issue,ai_neutral_train_boost_v3
boost_neutral_0204,"hang nhan du, dong goi cung duoc, danh gia tam vay a",hang nhan du dong goi cung duoc danh gia tam vay a,neutral,no_issue,ai_neutral_train_boost_v3
boost_neutral_0502,mui huong hoi lau nhung tong the tam,mui huong hoi lau nhung tong the tam,neutral,product_attribute,ai_neutral_train_boost_v3
boost_neutral_0030,"moi mo goi xem qua, giao hang binh thuong, chua khen che duoc nhieu 0:05",moi mo goi xem qua giao hang binh thuong chua khen che duoc nhieu 0 05,neutral,no_issue,ai_neutral_train_boost_v3
boost_neutral_0551,mau ngoai hoi khac anh sang nhung nhin cung tam nhe,mau ngoai hoi khac anh sang nhung nhin cung tam nhe,neutral,product_attribute,ai_neutral_train_boost_v3
boost_neutral_0648,"mua luc sale nen thay tam on, chua danh gia lau dai 0:10",mua luc sale nen thay tam on chua danh gia lau dai 0 10,neutral,price_value,ai_neutral_train_boost_v3
boost_neutral_0466,form hoi mong nhung tong the tam 0:10,form hoi mong nhung tong the tam 0 10,neutral,product_attribute,ai_neutral_train_boost_v3
boost_neutral_0100,"moi nhan ly thuy tinh, giao hang binh thuong, chua dung lau nen chua biet a",moi nhan ly thuy tinh giao hang binh thuong chua dung lau nen chua biet a,neutral,no_issue,ai_neutral_train_boost_v3
boost_neutral_0527,"form hoi co ban, dong goi cx dc a",form hoi co ban dong goi cx dc a,neutral,product_attribute,ai_neutral_train_boost_v3
