data_source,issue,rows
base_guideline_v4,no_issue,2097
base_guideline_v4,product_quality,2018
base_guideline_v4,product_attribute,756
base_guideline_v4,wrong_missing_item,276
base_guideline_v4,packaging,127
base_guideline_v4,spam_irrelevant,127
base_guideline_v4,shipping_delivery,109
base_guideline_v4,seller_service,55
base_guideline_v4,price_value,31
new_shopee_issue_reviewed,packaging,279
new_shopee_issue_reviewed,seller_service,247
new_shopee_issue_reviewed,wrong_missing_item,207
new_shopee_issue_reviewed,price_value,86
new_shopee_issue_reviewed,product_quality,55
new_shopee_issue_reviewed,spam_irrelevant,19
new_shopee_issue_reviewed,shipping_delivery,17
new_shopee_issue_reviewed,product_attribute,2
